employee_name,payment_month,monthly_salary,monthly_bonus
Mike Johnson,2018-03-01,2917.0,5000
Mike Johnson,2018-04-01,2917.0,5000
Mike Johnson,2018-05-01,2917.0,5000
Mike Johnson,2018-06-01,2917.0,5000
Mike Johnson,2018-07-01,2917.0,5000
Mike Johnson,2018-08-01,2917.0,5000
Mike Johnson,2018-09-01,2917.0,5000
Mike Johnson,2018-10-01,2917.0,5000
Mike Johnson,2018-11-01,2917.0,5000
Mike Johnson,2018-12-01,2917.0,5000
Mike Johnson,2019-01-01,2917.0,5000
Mike Johnson,2019-02-01,2917.0,5000
Mike Johnson,2019-03-01,2917.0,5000
Mike Johnson,2019-04-01,2917.0,5000
Mike Johnson,2019-05-01,2917.0,5000
Mike Johnson,2019-06-01,2917.0,5000
Mike Johnson,2019-07-01,2917.0,5000
Mike Johnson,2019-08-01,2917.0,5000
Mike Johnson,2019-09-01,2917.0,5000
Mike Johnson,2019-10-01,2917.0,5000
Mike Johnson,2019-11-01,2917.0,5000
Mike Johnson,2019-12-01,2917.0,5000
Mike Johnson,2020-01-01,2917.0,5000
Mike Johnson,2020-02-01,2917.0,5000
Mike Johnson,2020-03-01,2917.0,5000
Mike Johnson,2020-04-01,2917.0,5000
Mike Johnson,2020-05-01,2917.0,5000
Mike Johnson,2020-06-01,2917.0,5000
Mike Johnson,2020-07-01,2917.0,5000
Mike Johnson,2020-08-01,2917.0,5000
Mike Johnson,2020-09-01,2917.0,5000
Mike Johnson,2020-10-01,2917.0,5000
Mike Johnson,2020-11-01,2917.0,5000
Mike Johnson,2020-12-01,2917.0,5000
Mike Johnson,2021-01-01,2917.0,5000
Mike Johnson,2021-02-01,2917.0,5000
Mike Johnson,2021-03-01,2917.0,5000
Mike Johnson,2021-04-01,2917.0,5000
Mike Johnson,2021-05-01,2917.0,5000
Mike Johnson,2021-06-01,2917.0,5000
Mike Johnson,2021-07-01,2917.0,5000
Mike Johnson,2021-08-01,2917.0,5000
Mike Johnson,2021-09-01,2917.0,5000
Mike Johnson,2021-10-01,2917.0,5000
Mike Johnson,2021-11-01,2917.0,5000
Mike Johnson,2021-12-01,2917.0,5000
Mike Johnson,2022-01-01,2917.0,5000
Mike Johnson,2022-02-01,2917.0,5000
Mike Johnson,2022-03-01,2917.0,5000
Mike Johnson,2022-04-01,2917.0,5000
Mike Johnson,2022-05-01,2917.0,5000
Mike Johnson,2022-06-01,2917.0,5000
Mike Johnson,2022-07-01,2917.0,5000
Mike Johnson,2022-08-01,2917.0,5000
Mike Johnson,2022-09-01,2917.0,5000
Mike Johnson,2022-10-01,2917.0,5000
Mike Johnson,2022-11-01,2917.0,5000
Mike Johnson,2022-12-01,2917.0,5000
Mike Johnson,2023-01-01,2917.0,5000
Mike Johnson,2023-02-01,2917.0,5000
Mike Johnson,2023-03-01,2917.0,5000
Mike Johnson,2023-04-01,2917.0,5000
Mike Johnson,2023-05-01,2917.0,5000
Mike Johnson,2023-06-01,2917.0,5000
Mike Johnson,2023-07-01,2917.0,5000
Maria Schwartz,2020-06-01,3917.0,3500
Maria Schwartz,2020-07-01,3917.0,3500
Maria Schwartz,2020-08-01,3917.0,3500
Maria Schwartz,2020-09-01,3917.0,3500
Maria Schwartz,2020-10-01,3917.0,3500
Maria Schwartz,2020-11-01,3917.0,3500
Maria Schwartz,2020-12-01,3917.0,3500
Maria Schwartz,2021-01-01,3917.0,3500
Maria Schwartz,2021-02-01,3917.0,3500
Maria Schwartz,2021-03-01,3917.0,3500
Maria Schwartz,2021-04-01,3917.0,3500
Maria Schwartz,2021-05-01,3917.0,3500
Maria Schwartz,2021-06-01,3917.0,3500
Maria Schwartz,2021-07-01,3917.0,3500
Maria Schwartz,2021-08-01,3917.0,3500
Maria Schwartz,2021-09-01,3917.0,3500
Maria Schwartz,2021-10-01,3917.0,3500
Maria Schwartz,2021-11-01,3917.0,3500
Maria Schwartz,2021-12-01,3917.0,3500
Maria Schwartz,2022-01-01,3917.0,3500
Maria Schwartz,2022-02-01,3917.0,3500
Maria Schwartz,2022-03-01,3917.0,3500
Maria Schwartz,2022-04-01,3917.0,3500
Maria Schwartz,2022-05-01,3917.0,3500
Maria Schwartz,2022-06-01,3917.0,3500
Maria Schwartz,2022-07-01,3917.0,3500
Maria Schwartz,2022-08-01,3917.0,3500
Maria Schwartz,2022-09-01,3917.0,3500
Maria Schwartz,2022-10-01,3917.0,3500
Maria Schwartz,2022-11-01,3917.0,3500
Maria Schwartz,2022-12-01,3917.0,3500
Maria Schwartz,2023-01-01,3917.0,3500
Maria Schwartz,2023-02-01,3917.0,3500
Maria Schwartz,2023-03-01,3917.0,3500
John Garcia,2021-10-15,4333.0,3000
John Garcia,2021-11-15,4333.0,3000
